Date,Open,High,Low,Close,Adj Close,Volume,price_change_per_day,price_change_ratio_per_day
2014-11-05,330.683014,343.368988,330.683014,339.485992,339.485992,19817200,8.802977999999996,0.02662059321861629
2014-11-06,339.458008,352.966003,338.424011,349.290009,349.290009,18797000,9.832000999999991,0.028963821056771154
2014-11-07,349.817993,352.731995,341.776001,342.415009,342.415009,16834200,-7.402984000000004,-0.021162387722006064
2014-11-08,342.153992,347.032013,342.153992,345.488007,345.488007,8535470,3.3340149999999653,0.009744194362636474
2014-11-09,345.376007,363.626007,344.255005,363.264008,363.264008,24205600,17.888000999999974,0.051792830530929077
2014-11-10,362.265015,374.81601,357.561005,366.924011,366.924011,30450100,4.658996000000002,0.01286073953346006
2014-11-11,365.856995,371.309998,363.734985,367.695007,367.695007,15838900,1.838011999999992,0.0050238536507959675
2014-11-12,367.984985,429.717987,367.984985,423.561005,423.561005,45783200,55.57602000000003,0.1510279556650933
2014-11-13,427.27301,457.092987,401.122986,420.734985,420.734985,58945000,-6.538025000000005,-0.015301750513097012
2014-11-14,418.416992,419.252014,384.789001,397.817993,397.817993,29589200,-20.598998999999992,-0.04923078984325759
2014-11-15,399.649994,405.528015,371.007996,376.132996,376.132996,15727500,-23.516998,-0.05884398436898263
2014-11-16,374.730011,390.799011,374.60199,387.881989,387.881989,11905600,13.151977999999986,0.03509721029522769
2014-11-17,388.348999,410.199005,377.502014,387.40799,387.40799,41518800,-0.9410090000000082,-0.0024231013918488515
2014-11-18,387.785004,392.402008,371.117004,375.197998,375.197998,32222500,-12.58700600000003,-0.03245872292678969
2014-11-19,373.895996,386.480988,373.895996,380.554993,380.554993,18931800,6.658996999999999,0.017809757449234624
2014-11-20,380.307007,382.024994,356.781006,357.839996,357.839996,25233200,-22.467011000000014,-0.05907598489238462
2014-11-21,357.878998,357.878998,344.112,350.847992,350.847992,29850100,-7.031006000000048,-0.01964632191129597
2014-11-22,351.604004,364.841003,350.877991,352.920013,352.920013,15273000,1.3160090000000082,0.003742872620984169
2014-11-23,353.174988,370.845001,353.174988,367.572998,367.572998,15151600,14.39801,0.04076735468028104
2014-11-24,366.947998,387.209015,366.669006,376.901001,376.901001,30930100,9.953003000000024,0.02712374247644764
2014-11-25,376.885986,394.700989,374.783997,375.347992,375.347992,25442200,-1.537994000000026,-0.0040807938133311916
2014-11-26,376.019012,377.697998,365.81601,368.369995,368.369995,18601700,-7.649016999999958,-0.0203421017445787
2014-11-27,370.502014,373.992004,368.282013,369.670013,369.670013,8748030,-0.8320009999999911,-0.0022456045272671345
2014-11-28,369.373993,382.838013,358.454987,376.446991,376.446991,22946500,7.072998000000041,0.019148608548626326
2014-11-29,376.152008,387.601013,372.144989,375.490997,375.490997,15375600,-0.6610110000000304,-0.0017572975444545026
2014-11-30,375.51001,382.527008,373.30899,378.046997,378.046997,9194440,2.5369869999999537,0.006756110176663343
2014-12-01,378.248993,383.661987,376.669006,379.244995,379.244995,11763000,0.9960020000000327,0.002633191412091962
2014-12-02,379.25,384.037994,377.863007,381.315002,381.315002,12364100,2.0650019999999927,0.005444962425840455
2014-12-03,381.721985,383.026001,374.346008,375.01001,375.01001,13340100,-6.711974999999995,-0.017583412178892435
2014-12-04,375.717987,378.654999,367.759003,369.604004,369.604004,14529600,-6.113983000000019,-0.016272798246414588
2014-12-05,369.441986,379.191986,365.756012,376.854004,376.854004,15181800,7.412017999999989,0.02006273861899386
2014-12-06,376.756989,378.447998,370.945007,374.785004,374.785004,7009320,-1.971984999999961,-0.005234103301531484
2014-12-07,374.835999,376.291992,373.274994,375.095001,375.095001,6491650,0.2590020000000095,0.0006909741878874593
2014-12-08,374.964996,376.028992,361.885986,361.908997,361.908997,18898700,-13.055998999999986,-0.034819247501172046
2014-12-09,361.894989,363.066986,344.950989,352.218994,352.218994,32915500,-9.675995,-0.02673702398239065
2014-12-10,352.204987,352.384003,346.36499,346.36499,346.36499,16427700,-5.839997000000039,-0.016581244489874414
2014-12-11,344.339996,361.356995,338.763,350.506012,350.506012,32431300,6.166016000000013,0.017906766775939713
2014-12-12,350.833008,352.983002,349.290985,352.541992,352.541992,16989800,1.7089839999999867,0.0048712178188204764
2014-12-13,352.381012,352.381012,346.588013,347.376007,347.376007,11675900,-5.005004999999983,-0.014203390164507453
2014-12-14,346.72699,353.31601,345.417999,351.631989,351.631989,12415200,4.904998999999975,0.014146573937033212
2014-12-15,351.360992,351.815002,344.93399,345.345001,345.345001,17264200,-6.015990999999985,-0.017121966117399808
2014-12-16,345.673004,345.859009,327.062012,327.062012,327.062012,30864900,-18.61099200000001,-0.05383987694914125
2014-12-17,326.855011,333.95401,315.152008,319.776001,319.776001,37567900,-7.0790099999999825,-0.02165795157413078
2014-12-18,319.785004,323.709015,304.231995,311.395996,311.395996,39173000,-8.38900799999999,-0.026233275153828006
2014-12-19,311.178986,318.53299,306.769012,317.842987,317.842987,23823100,6.664000999999985,0.02141533104680785
2014-12-20,317.618988,330.325012,316.044006,329.955994,329.955994,20856700,12.337005999999974,0.03884215511699815
2014-12-21,329.542999,329.628998,318.903015,320.842987,320.842987,15207600,-8.700012000000015,-0.026400233130123376
2014-12-22,321.067993,334.117004,320.424988,331.885986,331.885986,22315100,10.817993000000001,0.03369377588503505
2014-12-23,332.016998,336.286987,329.60199,334.571991,334.571991,16574200,2.5549930000000245,0.007695368054619976
2014-12-24,334.38501,334.740997,321.356995,322.533997,322.533997,15092300,-11.851013000000023,-0.03544122088487167
2014-12-25,322.286011,322.670013,316.958008,319.007996,319.007996,9883640,-3.278014999999982,-0.010171136469215173
2014-12-26,319.152008,331.424011,316.627014,327.924011,327.924011,16410500,8.772002999999984,0.02748534485172339
2014-12-27,327.583008,328.911011,312.630005,315.863007,315.863007,15185200,-11.720001000000025,-0.03577719452408235
2014-12-28,316.160004,320.028015,311.078003,317.239014,317.239014,11676600,1.0790099999999825,0.0034128605337441177
2014-12-29,317.700989,320.266998,312.307007,312.670013,312.670013,12302500,-5.03097600000001,-0.015835569211904498
